iter	Passed	Remaining
0	1	1433
1	2	1385
2	3	1292
3	4	1237
4	6	1266
5	7	1234
6	8	1212
7	9	1200
8	10	1186
9	11	1164
10	12	1154
11	13	1132
12	14	1116
13	15	1103
14	16	1093
15	17	1080
16	18	1077
17	19	1079
18	20	1065
19	21	1057
20	22	1049
21	23	1041
22	24	1034
23	25	1026
24	26	1018
25	27	1013
26	28	1009
27	28	1006
28	29	1001
29	30	995
30	31	990
31	32	984
32	33	978
33	34	972
34	35	967
35	35	963
36	36	960
37	37	955
38	38	950
39	39	947
40	40	943
41	41	939
42	42	936
43	42	932
44	43	927
45	44	922
46	45	918
47	46	913
48	46	908
49	47	903
50	48	899
51	49	896
52	49	891
53	50	887
54	51	883
55	52	879
56	52	876
57	53	872
58	54	869
59	55	866
60	56	863
61	56	861
62	57	857
63	58	853
64	59	851
65	59	848
66	60	846
67	61	844
68	62	844
69	63	839
70	63	836
71	64	834
72	65	831
73	66	828
74	66	825
75	67	822
76	68	819
77	69	816
78	69	813
79	70	810
80	71	807
81	71	804
82	72	801
83	73	799
84	74	796
85	74	794
86	75	791
87	76	789
88	76	785
89	77	783
90	78	780
91	78	777
92	79	775
93	80	773
94	81	771
95	81	769
96	82	764
97	82	759
98	83	758
99	83	755
100	84	753
101	85	751
102	86	749
103	86	747
104	87	743
105	87	741
106	88	739
107	89	738
108	90	736
109	90	735
110	91	733
111	92	732
112	93	730
113	93	728
114	94	727
115	95	725
116	95	723
117	96	722
118	97	720
119	98	719
120	98	717
121	99	716
122	100	714
123	100	712
124	101	711
125	102	709
126	103	708
127	103	708
128	104	707
129	105	706
130	106	703
131	106	701
132	107	700
133	108	699
134	108	697
135	109	696
136	110	694
137	111	693
138	111	692
139	112	690
140	113	689
141	113	688
142	114	687
143	115	685
144	116	684
145	116	681
146	117	681
147	118	680
148	118	679
149	119	678
150	120	676
151	121	675
152	121	674
153	122	673
154	123	673
155	124	672
156	125	671
157	125	670
158	126	669
159	127	668
160	127	666
161	128	665
162	129	664
163	130	663
164	130	662
165	131	660
166	132	659
167	132	658
168	133	657
169	134	658
170	135	656
171	136	655
172	136	652
173	137	651
174	137	650
175	138	648
176	139	647
177	140	646
178	140	645
179	141	644
180	142	643
181	142	642
182	143	640
183	144	639
184	144	638
185	145	637
186	146	636
187	147	635
188	148	635
189	148	634
190	149	634
191	150	633
192	151	631
193	151	630
194	152	629
195	153	627
196	153	626
197	154	625
198	155	624
199	155	623
200	156	623
201	157	621
202	158	620
203	158	619
204	159	618
205	160	617
206	161	616
207	161	616
208	162	615
209	163	614
210	164	613
211	164	612
212	165	611
213	166	610
214	166	609
215	167	608
216	168	607
217	168	606
